country,iso3,variable,value_2011,source_2011,nearest_year_to_2011,nearest_value_to_2011,value_2021,source_2021,nearest_year_to_2021,nearest_value_to_2021
Germany,DEU,population,80274983,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,83196078,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Germany,DEU,foreign_born,8935603,Eurostat [migr_pop3ctb],,,15162728,Eurostat [migr_pop3ctb],,
Germany,DEU,foreign_nationals,6107216,Eurostat [migr_pop1ctz],,,10585053,Eurostat [migr_pop1ctz],,
Hungary,HUN,population,9971727,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,9630932,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Hungary,HUN,foreign_born,443295,Eurostat [migr_pop3ctb],,,597440,Eurostat [migr_pop3ctb],,
Hungary,HUN,foreign_nationals,209202,Eurostat [migr_pop1ctz],,,194240,Eurostat [migr_pop1ctz],,
Iceland,ISL,population,319014,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,372520,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
Iceland,ISL,foreign_born,34650,Eurostat [migr_pop3ctb],,,67438,Eurostat [migr_pop3ctb],,
Iceland,ISL,foreign_nationals,21143,Eurostat [migr_pop1ctz],,,51283,Eurostat [migr_pop1ctz],,
India,IND,population,1261224954,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,,1414203896,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",,
India,IND,foreign_born,5490000,"Chandrasekhar S. and Sharma A., Migration in India: trends and characteristics, Demography India Vol. 51 No. 1 (2022) pp.160-175 (Census of India 2011 place-of-birth data)",,,,,2020,4929816
India,IND,foreign_nationals,,,,,,,,
